codigoinsitucion,nombreinstitucion,nitinstitucion,codigopadreinstitucion,tipoinstitucion,codigodepartamento,nombredeparamento,codigomunicipio,nombremunicipio,codigoordeninstitucional,nombreordeninstitucional,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracterinstitucional,nombrecaracterinstitucional,codigotipoacreditacion,nombretipoacreditacion,codigotipomarcocreacion,numeromarcocreacion,nombretipomarcocreacion
1220,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,1201,SECCIONAL,5,ANTIOQUIA,5034,ANDES,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
2709,FUNDACION UNIVERSITARIA SAN MARTIN,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,12387,RESOLUCION
1114,UNIVERSIDAD SURCOLOMBIANA,891.180.084-2,,PRINCIPAL,41,HUILA,41001,NEIVA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,5,13,LEY
4812,CORPORACION CENTRO DE NUESTRA SEÑORA DE LAS MERCEDES,860.519.585-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,1311,RESOLUCION
2850,CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE,823.004.609 D.V.9,,PRINCIPAL,70,SUCRE,70001,SINCELEJO,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,2302,RESOLUCION
9122,UNIVERSIDAD MANUELA BELTRAN-UMB-,860.517.647-5,1735,SECCIONAL,68,SANTANDER,68001,BUCARAMANGA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,11110,RESOLUCION
2905,CENTRO DE EDUCACION MILITAR - CEMIL,830028487,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,10,NO INFORMA
4112,COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS - IES CINOC,890.802.678-4,,PRINCIPAL,17,CALDAS,17541,PENSILVANIA,4,DEPARTAMENTAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,3,37,DECRETO
2848,CORPORACION UNIVERSITARIA  UNITEC,860.510.627-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,2012,RESOLUCION
2828,CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-,800.107.584-2,,PRINCIPAL,41,HUILA,41001,NEIVA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,21000,RESOLUCION
2737,FUNDACION UNIVERSITARIA DEL AREA ANDINA,860.517.302-1,2728,SECCIONAL,66,RISARALDA,66001,PEREIRA,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,22215,RESOLUCION
4301,UNIDAD TECNICA PROFESIONAL DE SEVILLA-UNITEPS-,NO INFORMA,,PRINCIPAL,76,VALLE DEL CAUCA,76736,SEVILLA,3,MUNICIPAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,1,11,ACUERDO
1816,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,1818,SECCIONAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
1701,PONTIFICIA UNIVERSIDAD JAVERIANA,860.013.720-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,73,RESOLUCION
3821,CORPORACION POLITECNICO DE LA COSTA ATLANTICA,800.036.652-1,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,5814,RESOLUCION
2725,POLITECNICO GRANCOLOMBIANO,860.078.643-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,19349,RESOLUCION
2810,CORPORACION UNIVERSIDAD DE LA COSTA CUC,NO INFORMA,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,352,RESOLUCION
1208,UNIVERSIDAD DEL QUINDIO,890.000.432-8,,PRINCIPAL,63,QUINDIO,63001,ARMENIA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,1,23,ACUERDO
2208,CONSERVATORIO DEL TOLIMA,890.700.906-0,,PRINCIPAL,73,TOLIMA,73001,IBAGUE,4,DEPARTAMENTAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,6,42,ORDENANZA
2815,CORPORACION UNIVERSITARIA ADVENTISTA - UNAC,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,8529,RESOLUCION
4714,FUNDACION INTERAMERICANA TECNICA-FIT-,860.055.057,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,954,RESOLUCION
1708,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,860.006.848-6,1707,SECCIONAL,13,BOLIVAR,13001,CARTAGENA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,2613,RESOLUCION
